canonical,variants,total_amount,edge_count,fec_id,evidence,approve_yn
Putting People First Political Action Committee,PUTTING PEOPLE FIRST POLITICAL ACTION COMMITTEE,20505,15,C00243584,casing only; FEC ID C00243584,
MISSISSIPPI REPUBLICAN PARTY,Mississippi Republican Party,19912,2,C00084368,casing only; FEC ID C00084368,
PLANNED PARENTHOOD VOTES NORTHWEST,Planned Parenthood Votes Northwest,19882,3,C90014119,casing only; FEC ID C90014119,
Pennsylvania Pro-Life Federation PAC,PENNSYLVANIA PRO-LIFE FEDERATION PAC,18744,28,C00172361,casing only; FEC ID C00172361,
OHLONE AREA UNITED DEMOCRATIC CAMPAIGN,Ohlone Area United Democratic Campaign,14864,4,C00382283,casing only; FEC ID C00382283,
Alice B. Toklas LGBTQ Democratic Club Federal PAC,ALICE B. TOKLAS LGBTQ DEMOCRATIC CLUB FEDERAL PAC,12513,4,C00705277,casing only; FEC ID C00705277,
VICTORY FOR SCHAUMBURG,Victory for Schaumburg,12341,2,C00815977,casing only; FEC ID C00815977,
Together We Thrive,TOGETHER WE THRIVE,8204,7,C00522458,casing only; FEC ID C00522458,
San Benito County Democratic Central Committee,SAN BENITO COUNTY DEMOCRATIC CENTRAL COMMITTEE,4235,4,C00496521,casing only; FEC ID C00496521,
Democratic Alliance for Action,DEMOCRATIC ALLIANCE FOR ACTION,3100,2,C00407262,casing only; FEC ID C00407262,
DOLORES HUERTA ACTION FUND,Dolores Huerta Action Fund,2195,2,C90021577,casing only; FEC ID C90021577,
