ein,entity_id,vault_name,vault_url,profile_path,irs_filer_name,has_990_filings,filing_years,in_vault
306473477,ent_000264,Haim Saban,https://thedonormap.org/Donors%20&%20Power%20Networks/Israel%20Lobby/Haim%20Saban,content/Donors & Power Networks/Israel Lobby/Haim Saban.md,,false,,true
262383244,ent_000317,Halliburton,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Halliburton,content/Donors & Power Networks/Energy & Utilities/Halliburton.md,Halliburton Charitable Foundation,true,2020|2022|2023|2024,true
752805870,ent_000175,Harlan Crow,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Harlan%20Crow,content/Donors & Power Networks/Mega-Donors/Harlan Crow.md,HARLAN R CROW FOUNDATION INC,true,2019|2020|2021|2022|2023,true
461256191,ent_000176,Harold Hamm,https://thedonormap.org/Donors%20&%20Power%20Networks/Mega-Donors/Harold%20Hamm,content/Donors & Power Networks/Mega-Donors/Harold Hamm.md,The Harold Hamm Foundation,true,2021|2022|2023|2024|2025,true
990230697,ent_000318,Hawaiian Electric Company,https://thedonormap.org/Donors%20&%20Power%20Networks/Energy%20&%20Utilities/Hawaiian%20Electric%20Company,content/Donors & Power Networks/Energy & Utilities/Hawaiian Electric Company.md,Hawaiian Electric Industries Charitable,true,2020|2022|2023|2024,true
363309812,ent_001499,Heartland Institute,https://thedonormap.org/Think%20Tanks%20&%20Policy%20Infrastructure/Conservative/Heartland%20Institute,content/Think Tanks & Policy Infrastructure/Conservative/Heartland Institute.md,THE HEARTLAND INSTITUTE,true,2020|2021|2022|2023|2024,true
237327730,ent_000402,Heritage Foundation,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Heritage%20Foundation,content/Donors & Power Networks/Dark Money/Heritage Foundation.md,THE HERITAGE FOUNDATION,true,2018|2019|2020|2021|2022|2023|2024,true
311472972,ent_001486,Holland & Knight,https://thedonormap.org/Lobbying%20Firms%20&%20K%20Street/Holland%20&%20Knight,content/Lobbying Firms & K Street/Holland & Knight.md,HOLLAND &amp; KNIGHT CHARITABLE,true,2019|2020|2022|2023,true
473681860,ent_001509,Hopewell Fund,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Hopewell%20Fund,content/Donors & Power Networks/Dark Money/Hopewell Fund.md,HOPEWELL FUND,true,2020|2022,true
994082114,ent_000396,House Freedom Caucus,https://thedonormap.org/Donors%20&%20Power%20Networks/Dark%20Money/Freedom%20Caucus,content/Donors & Power Networks/Dark Money/Freedom Caucus.md,Freedom Caucus Foundation,true,2024,true
131945157,ent_001500,Hudson Institute,https://thedonormap.org/Think%20Tanks%20&%20Policy%20Infrastructure/Conservative/Hudson%20Institute,content/Think Tanks & Policy Infrastructure/Conservative/Hudson Institute.md,HUDSON INSTITUTE INC,true,2018|2019|2020|2021|2022|2023|2024,true
800487553,ent_000282,Humana,https://thedonormap.org/Donors%20&%20Power%20Networks/Healthcare/Humana,content/Donors & Power Networks/Healthcare/Humana.md,,false,,true
